epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40818,1.1285,3.77885,1.09595,0.00369,0.93472,0.13088,0.08977,0.79536,3.44651,0.93091,0.00020004,0.00020004,0.00020004
2,7.62544,1.02227,2.76919,1.01602,0.00343,0.87917,0.23502,0.17433,0.83454,3.22242,0.92108,0.000412624,0.000412624,0.000412624
3,10.7156,0.95073,2.38287,0.9826,0.00345,0.86944,0.22976,0.17261,0.83109,3.17565,0.92325,0.000620917,0.000620917,0.000620917
4,13.6563,0.92583,2.19582,0.98498,0.39398,0.05278,0.15393,0.11774,0.83975,3.19027,0.96276,0.00082492,0.00082492,0.00082492
5,16.6564,0.91408,1.9358,0.98492,0.43705,0.15502,0.13933,0.09951,0.86606,3.05802,0.98276,0.00102463,0.00102463,0.00102463
6,19.7842,0.96298,1.92028,1.02596,0.49296,0.22622,0.3207,0.2417,0.98213,2.73778,1.05231,0.00122005,0.00122005,0.00122005
7,22.6977,0.93601,1.74187,0.99248,0.62623,0.3875,0.55633,0.41722,0.94991,2.37061,1.01115,0.00141118,0.00141118,0.00141118
8,25.7124,0.97086,1.56207,0.98595,0.72484,0.70972,0.71007,0.52578,0.93438,1.79785,1.01672,0.00155148,0.00155148,0.00155148
9,28.7835,0.89773,1.51572,0.97513,0.85739,0.58993,0.77858,0.59324,0.91824,1.95888,0.99988,0.00153497,0.00153497,0.00153497
10,32.1318,0.87187,1.45198,0.99574,0.87023,0.85453,0.8944,0.69955,0.83818,1.30729,1.00205,0.00151847,0.00151847,0.00151847
11,35.4453,0.84034,1.31965,0.95817,0.92374,0.77574,0.87805,0.65644,0.89311,1.27656,1.03932,0.00150197,0.00150197,0.00150197
12,38.7466,0.86084,1.35318,0.95138,0.88121,0.73971,0.83579,0.58611,0.96936,1.33952,1.07918,0.00148546,0.00148546,0.00148546
13,41.8638,0.90012,1.30916,0.97044,0.82073,0.74006,0.81312,0.61368,0.93255,1.32463,1.00767,0.00146896,0.00146896,0.00146896
14,44.8032,0.91725,1.31554,0.98414,0.83588,0.51667,0.65643,0.5044,0.87509,1.88518,0.97081,0.00145246,0.00145246,0.00145246
15,47.6862,0.85879,1.25848,0.9708,0.73902,0.37778,0.51853,0.40791,0.86557,2.47429,1.00012,0.00143595,0.00143595,0.00143595
16,50.6293,0.80663,1.13406,0.9525,0.85261,0.78275,0.85025,0.64568,0.88269,1.29412,1.00493,0.00141945,0.00141945,0.00141945
17,53.7131,0.8396,1.09283,0.95464,0.92784,0.76087,0.90078,0.69928,0.81238,1.16558,0.9503,0.00140295,0.00140295,0.00140295
18,56.5922,0.81751,1.0298,0.94716,0.93667,0.80556,0.88091,0.68236,0.81409,1.10683,0.9509,0.00138644,0.00138644,0.00138644
19,59.3988,0.79207,1.02393,0.93721,0.9293,0.87468,0.90463,0.68205,0.84849,0.90319,0.95618,0.00136994,0.00136994,0.00136994
20,62.2584,0.74891,0.92966,0.93057,0.93424,0.86446,0.91204,0.71136,0.83697,0.77105,0.94781,0.00135344,0.00135344,0.00135344
21,65.2975,0.76438,0.91187,0.91603,0.98494,0.88854,0.93283,0.72755,0.85311,0.7393,0.95452,0.00133693,0.00133693,0.00133693
